Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2023-06-09,2641.16,30.31,1.16,2624.15,2644.7,2618.45,583219,11128065.0,2091571203.0
2023-06-12,2629.35,-11.81,-0.45,2647.49,2650.45,2623.43,557056,9365137.0,2082259638.0
2023-06-13,2637.95,8.6,0.33,2644.43,2645.62,2633.52,694321,11153307.0,2092104301.0
2023-06-14,2619.08,-18.87,-0.72,2640.81,2642.86,2614.25,654404,13100475.0,2077106422.0
2023-06-15,2608.54,-10.54,-0.4,2629.24,2634.22,2602.52,582437,11513807.0,2068930296.0
2023-06-16,2625.79,17.25,0.66,2623.57,2625.79,2612.21,673673,12620602.0,2083070963.0
2023-06-19,2609.5,-16.29,-0.62,2618.06,2619.44,2600.49,719549,11096633.0,2069459013.0
2023-06-20,2604.91,-4.59,-0.18,2602.83,2610.03,2596.82,722541,10880372.0,2066709393.0
2023-06-21,2582.63,-22.28,-0.86,2599.19,2600.97,2579.52,659798,10654263.0,2049490171.0
2023-06-22,2593.7,11.07,0.43,2575.65,2597.76,2575.65,613221,8937920.0,2058310974.0
2023-06-23,2570.1,-23.6,-0.91,2599.04,2600.81,2568.07,528307,8548517.0,2039950788.0
2023-06-26,2582.2,12.1,0.47,2568.65,2585.31,2562.03,481751,8437663.0,2050227832.0
2023-06-27,2581.39,-0.81,-0.03,2581.02,2582.0,2568.52,538509,8592192.0,2049390123.0
2023-06-28,2564.19,-17.2,-0.67,2590.52,2590.52,2559.46,488768,8814329.0,2036006512.0
2023-06-29,2550.02,-14.17,-0.55,2564.02,2577.69,2550.02,604509,8824942.0,2024884368.0
2023-06-30,2564.28,14.26,0.56,2558.43,2571.03,2541.72,510934,8209121.0,2035090950.0
2023-07-03,2602.47,38.19,1.49,2580.89,2604.63,2580.49,618006,8973590.0,2065043586.0
2023-07-04,2593.31,-9.16,-0.35,2604.72,2607.66,2591.86,674411,9160796.0,2057900765.0
2023-07-05,2579.0,-14.31,-0.55,2593.47,2601.99,2578.66,601089,10257664.0,2046820451.0
2023-07-06,2556.29,-22.71,-0.88,2574.75,2575.45,2550.67,531900,10291029.0,2028715708.0
2023-07-07,2526.71,-29.58,-1.16,2547.41,2547.41,2515.07,613265,10367353.0,2005107083.0
2023-07-10,2520.7,-6.01,-0.24,2528.08,2539.63,2517.67,561821,9698696.0,2000075615.0
2023-07-11,2562.49,41.79,1.66,2538.84,2562.49,2534.48,594135,10596471.0,2033589694.0
2023-07-12,2574.72,12.23,0.48,2557.61,2574.73,2554.26,696924,13229938.0,2043134139.0
2023-07-13,2591.23,16.51,0.64,2589.89,2602.21,2587.75,585661,13258010.0,2056144810.0
2023-07-14,2628.3,37.07,1.43,2607.47,2628.3,2603.36,569815,14285300.0,2085155475.0
2023-07-17,2619.0,-9.3,-0.35,2617.67,2627.12,2611.55,550570,11732182.0,2077680980.0
2023-07-18,2607.62,-11.38,-0.43,2624.59,2626.89,2600.67,493202,12003817.0,2068793756.0
2023-07-19,2608.24,0.62,0.02,2622.24,2622.54,2598.52,440074,11231686.0,2069336034.0
2023-07-20,2600.23,-8.01,-0.31,2595.38,2611.34,2589.29,372365,9473224.0,2063004507.0
2023-07-21,2609.76,9.53,0.37,2581.06,2609.76,2570.58,501872,12258800.0,2069758933.0
2023-07-24,2628.53,18.77,0.72,2608.47,2636.06,2595.21,529363,19050421.0,2083819625.0
2023-07-25,2636.46,7.93,0.3,2643.35,2646.71,2621.6,723472,19204605.0,2090016052.0
2023-07-26,2592.36,-44.1,-1.67,2638.76,2639.21,2580.98,834107,36348206.0,2054936941.0
2023-07-27,2603.81,11.45,0.44,2599.82,2617.61,2586.36,594163,24076449.0,2064695783.0
2023-07-28,2608.32,4.51,0.17,2593.67,2609.54,2586.33,503267,16807324.0,2068133763.0
2023-07-31,2632.58,24.26,0.93,2628.87,2639.45,2622.21,454243,15688014.0,2085912205.0
2023-08-01,2667.07,34.49,1.31,2644.34,2668.21,2639.1,493643,15851941.0,2113135323.0
2023-08-02,2616.47,-50.6,-1.9,2651.53,2660.9,2611.77,704674,16001904.0,2073668620.0
