일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2024-03-27,2755.11,-1.98,-0.07,2745,2762.03,2745,510644,1.2461944E7,2.246759369E9
2024-03-26,2757.09,19.52,0.71,2756.42,2779.4,2752.27,448301,1.2188273E7,2.24807496E9
2024-03-25,2737.57,-10.99,-0.4,2756.59,2763.63,2731.7,489620,9979717,2.23045071E9
2024-03-22,2748.56,-6.3,-0.23,2751.15,2763.06,2738.18,509545,1.1532687E7,2.240018471E9
2024-03-21,2754.86,64.72,2.41,2731.18,2755.45,2724.25,825227,1.4013557E7,2.244169944E9
2024-03-20,2690.14,33.97,1.28,2680.7,2692.52,2674.09,720452,1.2739395E7,2.190991693E9
2024-03-19,2656.17,-29.67,-1.1,2673.57,2673.57,2645.14,695866,1.0702805E7,2.162284635E9
2024-03-18,2685.84,19,0.71,2678.52,2688.07,2665.28,408182,9523806,2.186414425E9
2024-03-15,2666.84,-51.92,-1.91,2701.91,2705.59,2666.84,584948,1.3235768E7,2.171246911E9
2024-03-14,2718.76,25.19,0.94,2698.37,2718.76,2696.31,609288,1.4142603E7,2.214176884E9
2024-03-13,2693.57,11.76,0.44,2694.71,2701.45,2679.54,498760,1.0957571E7,2.193638399E9
2024-03-12,2681.81,21.97,0.83,2673.47,2686.14,2659.72,403969,9731031,2.183694627E9
2024-03-11,2659.84,-20.51,-0.77,2665.58,2677.21,2658.74,391385,8856059,2.16599124E9
2024-03-08,2680.35,32.73,1.24,2676.79,2688,2668.38,454260,1.1479441E7,2.183434414E9
2024-03-07,2647.62,6.13,0.23,2653.98,2660.26,2633.57,462911,1.0871921E7,2.157093122E9
2024-03-06,2641.49,-7.91,-0.3,2638.84,2649.78,2630.16,378994,1.0533006E7,2.152385363E9
2024-03-05,2649.4,-24.87,-0.93,2660.8,2684.83,2649.35,457237,1.2207053E7,2.159737908E9
2024-03-04,2674.27,31.91,1.21,2664.52,2682.8,2662.32,404014,1.2680158E7,2.180068722E9
2024-02-29,2642.36,-9.93,-0.37,2643.48,2647.56,2628.62,496064,1.2975398E7,2.154501763E9
